NOMBRE,PRESENTACION,LABORATORIO,BAJA,VIGENCIA,FECHA,PRECIO,DROGA,DROGAS25,DROGAS25EXT,POTENCIA,UPOTENCIA,UNIDADES,TIPOUNIDAD,FORMA,VARIEDAD_REV,VARIEDAD_COUNT,VARIEDAD_COD,VARIEDAD_DES,REMEDIAR,LABSEL,TIPO_DE_VENTA,IMPORTADO,TIPOAGRUPA,MARCAAGRUPA,D_MARCA_CONTROLADO,D_TAMANO,D_PAMI,C_PAMI,C_LABORATORIO,C_BARRA,C_TAMANO,C_ACCION,C_DROGA,C_FORMA,C_UPOTENCI,C_TIPOUNID,C_VIA,SNOMED,GTIN1,TROQUEL,ACCION,VIA,CLAVE,PRECIOPAMI,categoria_busqueda,query
ARANDANO + VITAMINA C,comp.x 30,Lafarmen,0,1,10/03/2026,10000,"arándano,ext.+asoc.",,,,No Clasificada,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00398,7798026677551,001,00346,10360,00054,undefined,00005,00002, ,7798026677551, ,Suplemento dietario,oral,61238,0,vitamina,vitamina
ARANDANO + VITAMINA C,comp.x 150,Lafarmen,0,1,27/03/2026,52500,"arándano,ext.+asoc.",,,,No Clasificada,150,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00398,7798026677711,003,00346,10360,00054,undefined,00005,00002, ,7798026677711, ,Suplemento dietario,oral,61713,0,vitamina,vitamina
SIMPLE CALCIO + VITAMINA D,doy pack past.de gomax28,Bagó-Arcor,0,1,29/04/2026,14192,calcio+vit.d,,,,No Clasificada,60,unidades,Caramelos,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00869,7790580125684,001,00346,00925,00014,undefined,00005,00002, ,7790580125684, ,Suplemento dietario,oral,56527,0,vitamina,vitamina
SIMPLE CALCIO + VITAMINA D,pastillas de goma x 60,Bagó-Arcor,0,1,29/04/2026,27696,calcio+vit.d,,,,No Clasificada,60,unidades,Caramelos,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00869,7790580119614,001,00346,00925,00014,undefined,00005,00002, ,7790580119614, ,Suplemento dietario,oral,54939,0,vitamina,vitamina
TOTALFER,cáps.x 30,Ariston,0,1,30/04/2026,91278,hierro+vitaminas,,,,No Clasificada,30,unidades,Cápsulas/Softgels,,0, , ,,,Venta Libre,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00013,8033011160106,001,00346,01023,00002,undefined,00005,00002, ,8033011160106, ,Suplemento dietario,oral,60547,0,vitamina,vitamina
MAGNESIO Y VITAMINA D INCAICO,comp.x 30,Donato Zurlo,0,1,01/04/2026,8800,magnesio+asoc.,,,,No Clasificada,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00405,7797290000249,001,00346,00062,00054,undefined,00005,00002, ,7797290000249, ,Suplemento dietario,oral,37300,0,vitamina,vitamina
MAGNESIO Y VITAMINA D INCAICO,blistera comp.x 200,Donato Zurlo,0,1,01/04/2026,52300,magnesio+asoc.,,,,No Clasificada,200,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00405,7797290000577,003,00346,00062,00054,undefined,00005,00002, ,7797290000577, ,Suplemento dietario,oral,61298,0,vitamina,vitamina
TOTAL MAGNESIANO VITAMINA C,comp.eferv.x 24,Temis-Lostaló,0,1,29/04/2026,42353,magnesio+vit.c,,,,No Clasificada,24,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,40% de descuento,7,00229,7795337904314,001,00683,10134,00054,undefined,00005,00002,236951000221107,07795337904314,2774271,Reconstituyente gral.,oral,9453,0,vitamina,vitamina
TOTAL MAGNESIANO VITAMINA C,pvo.eferv.sob.x 30,Temis-Lostaló,0,1,29/04/2026,51820,magnesio+vit.c,,,,No Clasificada,30,unidades,Jarabe/Suspensión oral/Polvo para uso oral,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,40% de descuento,7,00229,7795337901122,001,00683,10134,00010,undefined,00005,00002, ,7795337901122,3023493,Reconstituyente gral.,oral,45693,0,vitamina,vitamina
BIFERDIL LINEA NUTRI CON VITAMINA E,nutri cream vitE x 115 g,Biferdil,0,1,09/01/2026,5262,producto cosmético,,,,No Clasificada,1,unidades de 115 g,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00449,7791001000948,001,00412,10630,00004,undefined,00217,00001, ,7791001000948, ,Dermatocosméticos,No Clasificada,21382,0,vitamina,vitamina
BIFERDIL LINEA NUTRI CON VITAMINA E,nutri báls.vitE x 200 ml,Biferdil,0,1,09/01/2026,7463,producto cosmético,,,,No Clasificada,1,unidades de 200 ml,Crema de enjuague,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00449,7791001000023,001,00412,10630,00026,undefined,00025,00001, ,7791001000023, ,Dermatocosméticos,No Clasificada,21379,0,vitamina,vitamina
BIFERDIL LINEA NUTRI CON VITAMINA E,nutri shamp.vitE x 200ml,Biferdil,0,1,09/01/2026,7463,producto cosmético,,,,No Clasificada,1,unidades de 200 ml,Shampoo/Jabón líquido,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00449,7791001000047,001,00412,10630,00012,undefined,00025,00001, ,7791001000047, ,Dermatocosméticos,No Clasificada,21376,0,vitamina,vitamina
BIFERDIL LINEA PRO VITAMINA B5,recuperador báls.x 200ml,Biferdil,0,1,09/01/2026,8457,producto cosmético,,,,No Clasificada,1,unidades de 200 ml,Crema de enjuague,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00449,7791001000115,001,00412,10630,00026,undefined,00025,00001, ,7791001000115, ,Dermatocosméticos,No Clasificada,21443,0,vitamina,vitamina
BIFERDIL LINEA PRO VITAMINA B5,shamp.x 200 ml,Biferdil,0,1,09/01/2026,8457,producto cosmético,,,,No Clasificada,1,unidades de 200 ml,Shampoo/Jabón líquido,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00449,7791001000092,001,00412,10630,00012,undefined,00025,00001, ,7791001000092, ,Dermatocosméticos,No Clasificada,21439,0,vitamina,vitamina
BIFERDIL LINEA NUTRI CON VITAMINA E,másc.nutri creamx 150 ml,Biferdil,0,1,09/01/2026,8745,producto cosmético,,,,No Clasificada,1,unidades de 150 ml,Emulsiones/Leches de Limpieza,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00449,7791001011586,001,00412,10630,00040,undefined,00023,00009, ,7791001011586, ,Dermatocosméticos,uso externo,59885,0,vitamina,vitamina
BIFERDIL LINEA NUTRI CON VITAMINA E,nutri shamp.vitE x 400ml,Biferdil,0,1,09/01/2026,11010,producto cosmético,,,,No Clasificada,1,unidades de 400 ml,Shampoo/Jabón líquido,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,SIGUIENTE,Sin informacion (Sin descuento),0,00449,7791001003598,002,00412,10630,00012,undefined,00125,00009, ,7791001003598, ,Dermatocosméticos,uso externo,31991,0,vitamina,vitamina
BIFERDIL LINEA PRO VITAMINA B5,trat.antifrizz x 155 ml,Biferdil,0,1,09/01/2026,11482,producto cosmético,,,,No Clasificada,1,unidades de 155 ml,Shampoo/Jabón líquido,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00449,3779100101164,001,00412,10630,00012,undefined,00127,00009, ,3779100101164, ,Dermatocosméticos,uso externo,59884,0,vitamina,vitamina
BIFERDIL LINEA NUTRI CON VITAMINA E,nutri báls.vitE x 400 ml,Biferdil,0,1,09/01/2026,11560,producto cosmético,,,,No Clasificada,1,unidades de 400 ml,Crema de enjuague,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,SIGUIENTE,Sin informacion (Sin descuento),0,00449,7791001003543,002,00412,10630,00026,undefined,00125,00009, ,7791001003543, ,Dermatocosméticos,uso externo,31992,0,vitamina,vitamina
BIFERDIL LINEA PRO VITAMINA B5,recuperador báls.x 400ml,Biferdil,0,1,09/01/2026,12970,producto cosmético,,,,No Clasificada,1,unidades de 400 ml,Crema de enjuague,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00449,7791001003567,003,00412,10630,00026,undefined,00125,00009, ,7791001003567, ,Dermatocosméticos,uso externo,31998,0,vitamina,vitamina
BIFERDIL LINEA PRO VITAMINA B5,shamp.x 400 ml,Biferdil,0,1,09/01/2026,13300,producto cosmético,,,,No Clasificada,1,unidades de 400 ml,Shampoo/Jabón líquido,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00449,7791001003550,003,00412,10630,00012,undefined,00125,00009, ,7791001003550, ,Dermatocosméticos,uso externo,31993,0,vitamina,vitamina
BIFERDIL LINEA PRO VITAMINA B5,báls.triple acción x295g,Biferdil,0,1,09/01/2026,16567,producto cosmético,,,,No Clasificada,1,unidades de 295 g,Crema de enjuague,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00449,7791001008036,001,00412,10630,00026,undefined,00526,00009, ,7791001008036, ,Dermatocosméticos,uso externo,44369,0,vitamina,vitamina
BIFERDIL LINEA NUTRI CON VITAMINA E,nutri shamp.vit.e x800ml,Biferdil,0,1,09/01/2026,17144,producto cosmético,,,,No Clasificada,1,No Clasificada,Shampoo/Jabón líquido,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00449,7791001007824,001,00412,10630,00012,undefined,00001,00009, ,7791001007824, ,Dermatocosméticos,uso externo,44492,0,vitamina,vitamina
BIFERDIL LINEA NUTRI CON VITAMINA E,nutri báls.vit.e x790ml,Biferdil,0,1,09/01/2026,18859,producto cosmético,,,,No Clasificada,1,unidades de 790 ml,Crema de enjuague,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00449,7791001007831,001,00412,10630,00026,undefined,00527,00009, ,7791001007831, ,Dermatocosméticos,uso externo,44632,0,vitamina,vitamina
BIFERDIL LINEA PRO VITAMINA B5,recuperador capil.x 500g,Biferdil,0,1,09/01/2026,22546,producto cosmético,,,,No Clasificada,1,unidades de 500 g,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00449,7791001001723,003,00412,10630,00004,undefined,00081,00009, ,7791001001723, ,Dermatocosméticos,uso externo,21447,0,vitamina,vitamina
BIFERDIL LINEA NUTRI CON VITAMINA E,nut.sérum rep.ptas.x30ml,Biferdil,0,1,09/01/2026,23316,producto cosmético,,,,No Clasificada,1,unidades de 30 ml,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00449,7791001011593,001,00412,10630,00004,undefined,00048,00001, ,7791001011593, ,Dermatocosméticos,No Clasificada,60283,0,vitamina,vitamina
CETAPHIL SERUM VITAMINA C,sérum x 30 ml,Galderma,0,1,01/04/2026,54971,producto cosmético,,,,No Clasificada,1,unidades de 30 ml,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Libre,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00321,302990851731,001,00412,10630,00004,undefined,00048,00009, ,302990851731, ,Dermatocosméticos,uso externo,63627,0,vitamina,vitamina
BIFERDIL LINEA NUTRI CON VITAMINA E,nutri sérum pomo x 2 c/u,Biferdil,0,1,09/01/2026,16382,producto cosmético,,,,No Clasificada,2,unidades,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,No Clasificados / VL para Mf,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00449,7791001000351,001,00412,10630,00004,undefined,00005,00001, ,7791001000351, ,Dermatocosméticos,No Clasificada,21383,0,vitamina,vitamina
CETOMIX,bolsa x 500 ml,B-Life,0,1,13/04/2026,375801,proteínas+vitaminas+minerales,,,,No Clasificada,1,unidades de 500 ml,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,HOSPITALARIO,Sin informacion (Sin descuento),0,00822,7798321180022,011,00899,10574,00044,undefined,00049,00002, ,7798321180022, ,Alimentos propós.médico específ.,oral,54264,0,vitamina,vitamina
CETOMIX CHOCOLATE,bolsa x 500 ml,B-Life,0,1,13/04/2026,375801,proteínas+vitaminas+minerales,,,,No Clasificada,1,unidades de 500 ml,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,HOSPITALARIO,Sin informacion (Sin descuento),0,00822,7798321180190,011,00899,10574,00044,undefined,00049,00002, ,7798321180190, ,Alimentos propós.médico específ.,oral,61768,0,vitamina,vitamina
CETOMIX VAINILLA,bolsa x 500 ml,B-Life,0,1,13/04/2026,375801,proteínas+vitaminas+minerales,,,,No Clasificada,1,unidades de 500 ml,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,HOSPITALARIO,Sin informacion (Sin descuento),0,00822,7798321180183,011,00899,10574,00044,undefined,00049,00002, ,7798321180183, ,Alimentos propós.médico específ.,oral,61741,0,vitamina,vitamina
RENASTART,lata x 400 g,Tuteur,0,1,04/05/2026,893060,proteínas+vitaminas+minerales,,,,No Clasificada,1,unidades de 400 g,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,No Clasificada,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00287,5060385943427,001,00899,10574,00044,undefined,00053,00002, ,5060385943427, ,Alimentos propós.médico específ.,oral,60071,0,vitamina,vitamina
GAC A FORMULA,lata x 400 g,B-Life,0,1,13/04/2026,1136459,proteínas+vitaminas+minerales,,,,No Clasificada,1,unidades de 400 g,Granulados,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00822,4034341002337,001,00899,10574,00048,undefined,00053,00002, ,4034341002337, ,Alimentos propós.médico específ.,oral,53970,0,vitamina,vitamina
TYROMED A FORMULA,lata x 500 g,B-Life,0,1,13/04/2026,1136459,proteínas+vitaminas+minerales,,,,No Clasificada,1,unidades de 500 g,Granulados,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00822,4034341002061,001,00899,10574,00048,undefined,00081,00002, ,4034341002061, ,Alimentos propós.médico específ.,oral,56244,0,vitamina,vitamina
GAC B FORMULA,lata x 500 g,B-Life,0,1,13/04/2026,1583131,proteínas+vitaminas+minerales,,,,No Clasificada,1,unidades de 500 g,Granulados,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00822,4034341002344,001,00899,10574,00048,undefined,00081,00002, ,4034341002344, ,Alimentos propós.médico específ.,oral,53972,0,vitamina,vitamina
HCYS FORMULA,lata x 500 g,B-Life,0,1,13/04/2026,1583131,proteínas+vitaminas+minerales,,,,No Clasificada,1,unidades de 500 g,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00822,5060943222308,001,00899,10574,00044,undefined,00081,00002, ,5060943222308, ,Alimentos propós.médico específ.,oral,56243,0,vitamina,vitamina
LEU B FORMULA,lata x 500 g,B-Life,0,1,13/04/2026,1583131,proteínas+vitaminas+minerales,,,,No Clasificada,1,unidades de 500 g,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00822,4034341002375,001,00899,10574,00044,undefined,00081,00002, ,4034341002375, ,Alimentos propós.médico específ.,oral,56242,0,vitamina,vitamina
MSUD B FORMULA,env.x 500 g,B-Life,0,1,13/04/2026,1583131,proteínas+vitaminas+minerales,,,,No Clasificada,1,unidades de 500 g,Granulados,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00822,5060943220021,001,00899,10574,00048,undefined,00081,00002, ,5060943220021, ,Alimentos propós.médico específ.,oral,53973,0,vitamina,vitamina
OAC B FORMULA,lata x 500 g,B-Life,0,1,13/04/2026,1583131,proteínas+vitaminas+minerales,,,,No Clasificada,1,unidades de 500 g,Granulados,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00822,5060943220038,001,00899,10574,00048,undefined,00081,00002, ,5060943220038, ,Alimentos propós.médico específ.,oral,53971,0,vitamina,vitamina
TYROMED B FORMULA,lata x 500 g,B-Life,0,1,13/04/2026,1583131,proteínas+vitaminas+minerales,,,,No Clasificada,1,unidades de 500 g,Granulados,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00822,4034341002412,001,00899,10574,00048,undefined,00081,00002, ,4034341002412, ,Alimentos propós.médico específ.,oral,53969,0,vitamina,vitamina
GLYTACTIN COMPLETE BAR 15 FRUTI FRENZY,barras x 7 x 54 g c/u,B-Life,0,1,13/04/2026,1247157,proteínas+vitaminas+minerales,,,,No Clasificada,7,unidades,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00822,804795340026,001,00899,10574,00044,undefined,00005,00002, ,804795340026, ,Alimentos propós.médico específ.,oral,55046,0,vitamina,vitamina
GLYTACTIN COMPLETE BAR 15 PEANUT BUTTER,barras x 7 x 81 g c/u,B-Life,0,1,13/04/2026,1247157,proteínas+vitaminas+minerales,,,,No Clasificada,7,unidades,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00822,804795340019,001,00899,10574,00044,undefined,00005,00002, ,804795340019, ,Alimentos propós.médico específ.,oral,55045,0,vitamina,vitamina
RENASTEP,bot. x 24 x 125 ml,Tuteur,0,1,04/05/2026,1530961,proteínas+vitaminas+minerales,,,,No Clasificada,24,unidades de 125 ml,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,No Clasificada,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00287,5060385941300,001,00899,10574,00044,undefined,00072,00002, ,5060385941300, ,Alimentos propós.médico específ.,oral,60072,0,vitamina,vitamina
KFLO,bot.x 24 x 250 ml,Tuteur,0,1,04/05/2026,2612188,proteínas+vitaminas+minerales,,,,No Clasificada,24,unidades de 250 ml,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,No Clasificada,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00287,5060385943229,001,00899,10574,00044,undefined,00036,00002, ,5060385943229, ,Alimentos propós.médico específ.,oral,60068,0,vitamina,vitamina
MCT PROCAL,sob.x 30 x 16 g,Tuteur,0,1,04/05/2026,640724,proteínas+vitaminas+minerales,,,,No Clasificada,30,unidades de 16 g,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,No Clasificada,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00287,5060014050755,001,00899,10574,00044,undefined,00494,00002, ,5060014050755, ,Alimentos propós.médico específ.,oral,60070,0,vitamina,vitamina
GLYTACTIN RTD 10 CHOCOLATE,brick x 30 unid.x 250 ml,B-Life,0,1,13/04/2026,4040554,proteínas+vitaminas+minerales,,,,No Clasificada,30,unidades de 250 ml,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,HOSPITALARIO,Sin informacion (Sin descuento),0,00822,324359564038,011,00899,10574,00044,undefined,00036,00002, ,324359564038, ,Alimentos propós.médico específ.,oral,54253,0,vitamina,vitamina
GLYTACTIN RTD 10 ORIGINAL,brick x 30 unid.x 250 ml,B-Life,0,1,13/04/2026,4040554,proteínas+vitaminas+minerales,,,,No Clasificada,30,unidades de 250 ml,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,HOSPITALARIO,Sin informacion (Sin descuento),0,00822,324359574037,011,00899,10574,00044,undefined,00036,00002, ,324359574037, ,Alimentos propós.médico específ.,oral,54252,0,vitamina,vitamina
GLYTACTIN RTD 15 CHOCOLATE,brick x 30 unid.x 250 ml,B-Life,0,1,13/04/2026,6002049,proteínas+vitaminas+minerales,,,,No Clasificada,30,unidades de 250 ml,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,HOSPITALARIO,Sin informacion (Sin descuento),0,00822,324359544030,011,00899,10574,00044,undefined,00036,00002, ,324359544030, ,Alimentos propós.médico específ.,oral,56994,0,vitamina,vitamina
GLYTACTIN RTD 15 ORIGINAL,brick x 30 unid.x 250 ml,B-Life,0,1,13/04/2026,6002049,proteínas+vitaminas+minerales,,,,No Clasificada,30,unidades de 250 ml,Batidos/Puré/Jugos/Otros alimentos,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,HOSPITALARIO,Sin informacion (Sin descuento),0,00822,324359584036,011,00899,10574,00044,undefined,00036,00002, ,324359584036, ,Alimentos propós.médico específ.,oral,56993,0,vitamina,vitamina
102 VITAMINA C,comp.rec. x 30,Laboratorio Gramon,0,1,05/05/2026,18944,vit.+asoc.,,,,No Clasificada,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00763,7791984001710,001,00346,00924,00054,undefined,00005,00002, ,7791984001710, ,Suplemento dietario,oral,63460,0,vitamina,vitamina
PROBIOTICOS + VITAMINAS VW,cáps.x 30,Pharmamerican S.R.L.,0,1,28/03/2026,20364,vit.+asoc.,,,,No Clasificada,30,unidades,Cápsulas/Softgels,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00719,7798008297210,001,00346,00924,00002,undefined,00005,00002, ,7798008297210, ,Suplemento dietario,oral,64007,0,vitamina,vitamina
102 VITAMINA C,sobres x 30,Laboratorio Gramon,0,1,05/05/2026,21463,vit.+asoc.,,,,No Clasificada,30,unidades,Granulados,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00763,7791984001635,001,00346,00924,00048,undefined,00005,00002, ,7791984001635, ,Suplemento dietario,oral,63461,0,vitamina,vitamina
EPUYEN VITAMINA A NUTRITIVA,cr.x 50 g,Epuyén,0,1,10/03/2026,10450,vit.a+alantoína+asoc.,,,,No Clasificada,1,unidades de 50 g,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00773,7798337950138,001,00629,00637,00004,undefined,00058,00009, ,7798337950138, ,Reconstituyente dérmico,uso externo,58424,0,vitamina,vitamina
EPUYEN VITAMINA A NUTRITIVA,cr.x 100 g,Epuyén,0,1,07/05/2026,13900,vit.a+alantoína+asoc.,,,,No Clasificada,1,unidades de 100 g,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,SIGUIENTE,Sin informacion (Sin descuento),0,00773,7798337950077,002,00629,00637,00004,undefined,00041,00009, ,7798337950077, ,Reconstituyente dérmico,uso externo,50327,0,vitamina,vitamina
EPUYEN VITAMINA A NUTRITIVA,cr.x 200 g,Epuyén,0,1,07/05/2026,26250,vit.a+alantoína+asoc.,,,,No Clasificada,1,unidades de 200 g,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE + DE 2 PRES.),Sin informacion (Sin descuento),0,00773,7798337950060,005,00629,00637,00004,undefined,00083,00009, ,7798337950060, ,Reconstituyente dérmico,uso externo,50237,0,vitamina,vitamina
VITAMINA B1 BIOL FUERTE,100 mg a.x 100 x 1 ml,Biol,0,1,28/04/2026,273235,vit.b1,,,,mg/ml,100,unidades de 1 ml,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,HOSPITALARIO,Sin informacion (Sin descuento),0,00030,7792796473115,011,00483,09180,00003,undefined,00013,00003,316941000221107,7792796473115, ,Vitamínico,inyectable IM,19459,0,vitamina,vitamina
VITAMINA B12 VEGANA VITAMIN WAY,cáps.x 20,Pharmamerican S.R.L.,0,1,28/03/2026,10510,vit.b12,,,,mcg,20,unidades,Cápsulas/Softgels,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00719,7798008296183,001,00346,05033,00002,undefined,00005,00002, ,7798008296183, ,Suplemento dietario,oral,60263,0,vitamina,vitamina
VITAMINA B12 METILCOBALAMINA,frasco cáps.x 30,Innovapharma,0,1,02/03/2026,23200,vit.b12,,,,mcg,30,unidades,Cápsulas/Softgels,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00836,7798265480615,001,00346,05033,00002,undefined,00005,00002, ,7798265480615, ,Suplemento dietario,oral,62268,0,vitamina,vitamina
GENERDAY VITAMINA C,pouch x 1 x 5 g,Formulab,0,1,06/05/2026,2000,vit.c,,,,No Clasificada,1,unidades de 5 g,Granulados,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00788,77978677,001,00346,09266,00048,undefined,00016,00002, ,77978677, ,Suplemento dietario,oral,58256,0,vitamina,vitamina
